day,price,sub_category,main_category
2017-03-08,9650,Beras Kualitas Bawah 2,Beras
2017-03-09,9650,Beras Kualitas Bawah 2,Beras
2017-03-10,9650,Beras Kualitas Bawah 2,Beras
2017-03-13,9650,Beras Kualitas Bawah 2,Beras
2017-03-14,9650,Beras Kualitas Bawah 2,Beras
2017-03-15,9650,Beras Kualitas Bawah 2,Beras
2017-03-16,9650,Beras Kualitas Bawah 2,Beras
2017-03-17,9650,Beras Kualitas Bawah 2,Beras
2017-03-20,9650,Beras Kualitas Bawah 2,Beras
2017-03-21,9650,Beras Kualitas Bawah 2,Beras
2017-03-22,9650,Beras Kualitas Bawah 2,Beras
2017-03-23,9650,Beras Kualitas Bawah 2,Beras
2017-03-24,9650,Beras Kualitas Bawah 2,Beras
2017-03-27,9650,Beras Kualitas Bawah 2,Beras
2017-03-29,9650,Beras Kualitas Bawah 2,Beras
2017-03-30,9650,Beras Kualitas Bawah 2,Beras
2017-03-31,9650,Beras Kualitas Bawah 2,Beras
2017-04-03,9650,Beras Kualitas Bawah 2,Beras
2017-04-04,9650,Beras Kualitas Bawah 2,Beras
2017-04-05,9600,Beras Kualitas Bawah 2,Beras
2017-04-06,9600,Beras Kualitas Bawah 2,Beras
2017-04-07,9600,Beras Kualitas Bawah 2,Beras
2017-04-10,9600,Beras Kualitas Bawah 2,Beras
2017-04-11,9600,Beras Kualitas Bawah 2,Beras
2017-04-12,9600,Beras Kualitas Bawah 2,Beras
2017-04-13,9600,Beras Kualitas Bawah 2,Beras
2017-04-17,9600,Beras Kualitas Bawah 2,Beras
2017-04-18,9600,Beras Kualitas Bawah 2,Beras
2017-04-19,9600,Beras Kualitas Bawah 2,Beras
2017-04-20,9600,Beras Kualitas Bawah 2,Beras
2017-04-21,9600,Beras Kualitas Bawah 2,Beras
2017-04-25,9600,Beras Kualitas Bawah 2,Beras
2017-04-26,9600,Beras Kualitas Bawah 2,Beras
2017-04-27,9600,Beras Kualitas Bawah 2,Beras
2017-04-28,9750,Beras Kualitas Bawah 2,Beras
2017-05-02,9600,Beras Kualitas Bawah 2,Beras
2017-05-03,9600,Beras Kualitas Bawah 2,Beras
2017-05-04,9600,Beras Kualitas Bawah 2,Beras
2017-05-05,9600,Beras Kualitas Bawah 2,Beras
2017-05-08,9650,Beras Kualitas Bawah 2,Beras
2017-05-09,9650,Beras Kualitas Bawah 2,Beras
